REGISTRATION,FIRST_REG,CURRENT_REG,TAIL_NUMBER,NOSE_NUMBER,DESCRIPTION,AIRLINE,IATA_SUBTYPE,OWNER,ACCOUNT_CODE,CAPACITY,ACTIVE_START_TIME,ACTIVE_END_TIME,MAX_TAKE_OFF_WEIGHT,WINGSPAN_CODE,NOISE_CLASS,SITE_ID
00215A,,,,,,MC,Y20,MC,,,,,,,,
10193A,,,,,,ZZZ,C17,ZZZ,,,,,,,,
120203,,,,,,GV,C17,GV,,,,,265350,,,
1231,,,,,,PV,CNC,PV,,,,,,,,
20044,,,,,,XY,IL7,XY,,,,,220000,,,
20640,,,,,,XY,IL7,XY,,,,,190000,,,
2SOSF,,,,,,PV,BEH,PV,,,,,,,,
40009A,,,,,,ZZZ,C17,ZZZ,,,,,,,,
474,,,,,,ZS,LOH,ZS,,,,,,,,
4KAZ60,,,,,,ZP,IL7,ZP,,,,,195000,,,
4KAZ86,,,,,,J2,340,J2,,,,,380000,,,
4KBCH,,,,,,7L,744,7L,,,,,,,,
4KBCI,,,,,,7L,744,7L,,,,,,,,
4KSW008,,,,,,7L,744,7L,,,,,,,,
4L4EO,,,,,,N6,747,N6,,,,,,,,
4LGEO,,,,,,D4,742,D4,,,,,377842,,,
4RALN,,,,,,UL,333,UL,,,,,215000,,,
5YFDM,,,,,,PV,560,PV,,,,,,,,
5YFDR,,,,,,ZZZ,CNJ,ZZZ,,,,,,,,
5YMRE,,,,,,PV,DH2,PV,,,,,,,,
5YRYN,,,,,,ZZZ,145,ZZZ,,,,,,,,
5YSOH,,,,,,ZZZ,ER4,ZZZ,,,,,,,,
77186A,,,,,,MC,C17,MC,,,,,,,,
781205,,,,,,ZZZ,C2G,ZZZ,,,,,,,,
88191A,,,,,,RC,C17,RC,,,,,,,,
90169A,,,,,,PV,C17,PV,,,,,,,,
"9ALAB
",,,,,,LI,738,LI,,,,,,,,
9HDFS,,,,,,PV,DF3,PV,,,,,,,,
9HEAJ,,,,,,5K,333,5K,,,,,,,,
9HFAB,,,,,,ZZZ,E90,ZZZ,,,,,54500,,,
9HGTS,,,,,,ER,320,ER,,,,,,,,
9HNYC,,,,,,9X,E90,9X,,,,,54500,,,
9HPOP,,,,,,5M,333,5M,,,,,,,,
9HPTP,,,,,,5M,333,5M,,,,,,,,
9HSLG,,,,,,6Y,321,6Y,,,,,,,,
9HSUN,,,,,,ZZZ,343,ZZZ,,,,,260000,,,
9HSZN,,,,,,5M,330,5M,,,,,242000,,,
9HTAJ,,,,,,5M,333,5M,,,,,233000,,,
9HTQZ,,,,,,V5,343,V5,,,,,,,,
9HVJC,,,,,,ZZZ,L2J,ZZZ,,,,,45000,,,
9HVJF,,,,,,ZZZ,L2J,ZZZ,,,,,45132,,,
9HVJO,,,,,,ZZZ,L2J,ZZZ,,,,,45000,,,
9HVJW,,,,,,ZZZ,L2J,ZZZ,,,,,45000,,,
9HXFW,,,,,,5M,319,5M,,,,,70000,,,
9KAKA,,,,,,KU,322,KU,,,,,76000,,,
9KAKB,,,,,,KU,322,KU,,,,,75500,,,
9KAKC,,,,,,KU,322,KU,,,,,76000,,,
9KAKE,,,,,,KU,322,KU,,,,,78000,,,
9KAKF,,,,,,KU,320,KU,,,,,78000,,,
9KAKG,,,,,,KU,322,KU,,,,,78000,,,
9KAKH,,,,,,KU,322,KU,,,,,78000,,,
9KAKI,,,,,,KU,320,KU,,,,,78000,,,
9KAKJ,,,,,,KU,320,KU,,,,,78000,,,
9KAKK,,,,,,KU,322,KU,,,,,78000,,,
9KAKL,,,,,,KU,32N,KU,,,,,,,,
9KAKM,,,,,,KU,32N,KU,,,,,79000,,,
9KAKN,,,,,,KU,320,KU,,,,,79000,,,
9KAKQ,,,,,,KU,32N,KU,,,,,,,,
9KAKR,,,,,,KU,32N,KU,,,,,,,,
9KALE,,,,,,KU,320,KU,,,,,77000,,,
9KALF,,,,,,KU,322,KU,,,,,77000,,,
9KALG,,,,,,KU,322,KU,,,,,77000,,,
9KAME,,,,,,KU,306,KU,,,,,171000,,,
9KANA,,,,,,KU,343,KU,,,,,257000,,,
9KAND,,,,,,KU,343,KU,,,,,257000,,,
9KAOB,,,,,,KU,772,KU,,,,,287000,,,
9KAOC,,,,,,KU,77W,KU,,,,,331122,,,
9KAOD,,,,,,KU,77W,KU,,,,,331122,,,
9KAOE,,,,,,KU,77W,KU,,,,,,,,
9KAOF,,,,,,KU,77W,KU,,,,,,,,
9KAOH,,,,,,KU,77W,KU,,,,,331122,,,
9KAOI,,,,,,KU,777,KU,,,,,331122,,,
9KAOJ,,,,,,KU,77W,KU,,,,,331122,,,
9KAOK,,,,,,KU,77W,KU,,,,,331122,,,
9KAOL,,,,,,KU,77W,KU,,,,,331122,,,
9KAOM,,,,,,KU,77W,KU,,,,,331122,,,
9KAPA,,,,,,KU,332,KU,,,,,238000,,,
9KAPB,,,,,,KU,332,KU,,,,,238000,,,
9KAPC,,,,,,KU,332,KU,,,,,238000,,,
9KAPD,,,,,,KU,332,KU,,,,,238000,,,
9KAPE,,,,,,KU,332,KU,,,,,238000,,,
9KAPF,,,,,,KU,338,KU,,,,,,,,
9KAPG,,,,,,KU,338,KU,,,,,,,,
9KCAN,,,,,,JZR,320,JZR,,,,,77000,,,
9KCAO,,,,,,J9,320,J9,,,,,,,,
