IATA_TYPE,IATA_SUBTYPE,ICAO_TYPE,CAPACITY,FIRST_CAP,BUSINESS_CAP,ECONOMY_CAP,FREIGHT_CAP,CATEGORY,WEIGHT,NOISE_LEVEL,MAX_PAYLOAD,HEIGHT,WIDTH,LENGTH,DESCRIPTION,ICAO_GROUP,BODY_TYPE,SITE_ID
,G5V,G5V,,,,,,,,,,,29,29,N555GV,,,
,M88,MD88,,,,,,,,,,,32,46,MC Donnell Douglas MD88,,,
,744,B744,416,,,,,,,,,,66,70,Boeing 747-400,,,
,743,B743,420,,,,,,,,,,64,71,Boeing 747-300,,,
,747,B747,700,,,,,,,,,,70,55,Boeing 747,,,
,312,A312,220,,,,,,,,,,43,46,Airbus 310-200,,,
,Y20,C17,,,,,,,,,,,13,66,China Airforce Cargo,,,
,139,A139,12,,,,,,,,,,,,Aga Khan Foundation Pakistan,,,
,351,A35K,440,,,,,,,,,,65,74,AIRBUS 35K,,,
,L2T,B350,11,,,,,,,,,,18,14,BEECH 300 (B300) Super King,,,
,CN1,C172,4,,,,,,,,,,36,27,Cessna 172,,,
,764,B764,375,,,,,,,,,,52,61,Boeing 767-400,,,
,767,B767,375,,,,,,,,,,47,54,Boeing 767,,,
,772,B772,375,,,,,,,,,,47,48,Boeing 777-200,,,
,773,B773,550,,,,,,,,,,61,74,Boeing 777-300,,,
,777,B777,440,,,,,,,,,,61,74,Boeing 777,,,
,CNJ,C525,,,,,,,,,,,17,,,,,
,GL3,GLF3,18,,,,,,,,,,24,,GULFSTREAM 3,,,
,GL4,GLF4,8,,,,,,,,,,24,27,GULFSTREAM 4,,,
,B06,BH06,,,,,,,,,,,11,13,Bell 206 Jet Ranger/Long,,,
,D93,DC93,,,,,,,,,,,10,9,Douglas,,,
,L2J,LJ45,11,,,,,,,,,,15,18,Learjet 45,,,
,DX7,FA7X,16,,,,,,,,,,26,23,Business Jet,,,
,ANF,AN12,100,,,,,,,,,,33,10,ANTONOV An-12,,,
,C2G,C2,30,,,,,,,,,,25,17,C2-Greyhound,,,
,GL5,GLF5,,,,,,,,,,,29,29,GULFSTREAM 5,,,
,UNK,UNK,,,,,,,,,,,,,,,,
,739,B739,220,,,,,,,,,,34,42,Boeing 737-900,,,
,73A,B733,188,,,,,,,,,,31,,Boeing 737 Advanced pax,,,
,73C,B73C,215,,,,,,,,,,,,Boeing 737-300,,,
,73G,B737,143,,,,,,,,,,34,,Boeing 737-700,,,
,YN7,YUN7,52,,,,,,,,,,30,24,YUN7,,,
,YN8,YUN8,,,,,,,,,,,,,YUN8,,,
,74S,B74S,416,,,,,,,,,,66,70,Boeing 747 SP,,,
,750,C750,11,,,,,,,,,,19,,Cessna 750,,,
,763,B763,262,,,,,,,,,,47,55,Boeing 767-300,,,
,DH8,DH8C,,,,,,,,,,,27,,DH8C,,,
,EMB,E110,,,,,,,,,,,15,,Embraer EMB.110 Bandeirnate,,,
,F27,F27,,,,,,,,,,,29,23,Fokker 27,,,
,L35,LJ35,8,,,,,,,,,,12,,Learjet-35,,,
,789,B789,330,,,,,,,,,,60,,Boeing 787-900,,,
,V10,VC10,,,,,,,,,,,44,52,Vickers VC10,,,
,757,B757,295,,,,,,,,,,37,47,B757,,,
,M82,MD82,,,,,,,,,,,33,45,MC Donnell Douglas MD80,,,
,735,B735,215,,,,,,,,,,28,36,Boeing 737-500,,,
,736,B736,113,,,,,,,,,,34,31,Boeing 737-600,,,
,E50,EA50,853,,,,,,,,,,11,10,Eclipse 500,,,
,738,B738,174,,,,,,,,,,34,40,Boeing 737-800,,,
,ER3,E35L,,,,,,,,,,,22,27,EMBRAER LEGACY 600,,,
,PAG,PA46,6,,,,,,,,,,,,PIPER,,,
,E55,E550,,,,,,,,,,,21,21,Midle East,,,
,LJ4,LJ45,6,,,,,,,,,,15,17,LEAR-JET,,,
,L15,L105,,,,,,,,,,,47,45,Lockheed Tristar L-1011-5,,,
,77E,B77E,368,,,,,,,,,,,,Boeing 777,,,
,999,B999,168,,,,,,,,,,,,LJW,,,
,742,B742,548,,,,,,,,,,70,55,Boeing 747-200,,,
,781,B78X,350,,,,,,,,,,60,68,Boeing 787-10 Dreamliner,,,
,F50,DF50,,,,,,,,,,,29,25,Dassault Falcon 50EX,,,
,A19,A109,,,,,,,,,,,,,A109,,,
,BD7,BD70,,,,,,,,,,,,,GLOBAL EXPRESS,,,
,788,B788,330,,,,,,,,,,57,,Boeing 787-8 Dreamliner,,,
,BE1,B190,,,,,,,,,,,,,,,,
,L4J,IL76,,,,,,,,,,,48,81,Il-76 CANDID Cargo,,,
,MIH,MI8,,,,,,,,,,,,25,MI8,,,
,32Q,A21N,240,,,,,,,,,,36,45,Alpha 321 NEO,,,
,GJ3,GLF3,21,,,,,,,,,8,24,25,GulfStream III,,,
,CNC,C208,10,,,,,,,,,4,16,11,CESSNA 208 Grand Caravan,,,
,CJ3,C25B,8,,,,,,,,,,16,15,Cessna Citation CJ3,,,
