ICAO_CODE,IATA_CODE,NAME
AAP,AAP,Air Academy Pakistan
AAR,OZ,Asiana Airlines
ABA,ABA,AIRBORNE AVIATION
ABB,AJ,Air Belgium International
ABQ,PA,Airblue
ABW,RU,AirBridgeCargo
ABY,G9,Air Arabia
ACA,AC,Air Canada
AEA,UX,Air Europa
AEF,YP,Aero Lloyd
AFG,FG,Ariana Afghan Air
AFL,SU,Aeroflot Russian Airlines
AFR,AF,Air France
AHY,J2,Azerbaijan Airlines
AIC,AI,Air India
AIZ,IZ,Arkia-Israeli Airlines Ltd
AKH,AK,Turkmenistan Airline
ALK,UL,Srilankan Airlines
AMM,DP,Air 2000 Ltd
AMT,TZ,American Trans Air
ANA,NH,Ana All Nippon Airways
ANK,KA,Aero Nomad Airlines
ANS,YW,Air Nostrum
ANZ,NZ,Air New Zealand
AOM,IW,Aom French Airlines
APF,AP,PAK ARAB FERTILIZER
ARG,AR,Aerolineas Argentinas
ART,6Y,SmartLynx Airlines
ASS,ASS,AIRCRAFT SALES AND SERVICES (P
AUA,OS,Austrian Airlines
AVA,AV,Avianca
AVJ,YK,Avia
AWC,ZT,TITAN AIRWAYS LTD
AWP,AD,Aero World
AXX,M4,Avioimpex
AXY,9X,New Axis Airways
AYC,AO,Aviaco
AZA,AZ,Alitalia 
AZG,7L,Silkway West
AZQ,ZP,Silk Way Airline
AZS,ZR,Aviacon Zitotrans
AZW,UM,Air Zimbabwe
AZX,7L,Air Bristol
BAL,BY,Britannia Airways Ltd
BAW,BA,British Airways
BBC,BG,Biman Bangladesh Airl.
BMA,BD,Bmi British Midland
BON,JA,Air Bosna
BPA,BV,Blu-Express
BRA,BU,Braathens Asa
BRZ,E5,Samara Airlines
BTC,V9,Bashkir Airlines
BTP,BT,BAHRIA TOWN
BZH,DB,Brit Air
CAA,PV,CIVIL AVIATION 
CAF,CAF,China Airfore
CCA,CA,Air China
CDN,CP,Canadian Airlines
CES,MU,China Eastern Airlines
CFJ,IV,Fujian Airlines
CFZ,CF,Zhongfei General Aviation
CGW,G8,Air Great Wall
CHH,HU,Hainan Airlines
CJG,ZJ,Cnac Zhejiang Airlines
CKK,CK,China Cargo 
CLX,CV,Cargolux Airlines Internationa
CMB,OY,UN
CMS,CMS,CHIEF MINISTER GOVT. OF SINDH
COA,CO,Continental Airlines
CRL,SS,Corse Air Int.
CSC,3U,Sichuanair
CSN,CZ,China Southern Airline
CSS,O3,SF Airline
CSZ,ZH,Shenzhen Airlines
CTN,OU,Croatia Airlines
CUA,KN,China United Airlines
CUS,X5,Cronus Airlines
CYN,Z2,Airasia Zest
CYZ,8Y,China Postal Airlines
DAF,DAF,Danish Airforce
DAN,9J,Dana Air
DER,DR,Deer Air
DJA,HO,Antinea Airlines
DLH,LH,Deutsche Lufthansa
DNV,D9,Donavia
DPP,DPP,DEPARTMENT OF PLANT PROTECTION
DTR,DX,Danish Air Transport
EIA,EZ,Evergreen International Airlin
ELL,ES,Estonian Air
ELY,LY,El Al Israel Airlines
ENT,E4,Enter Air
ESM,ESM,ETIHAD SUGAR MILLS LIMITED
ETD,EY,Etihad Airways
ETH,ET,Ethiopian Airlines
EVE,EV,Air Evex
EZZ,LI,ETF Airways
FBA,IF,Fly Baghdad
FDB,FZ,Fly Dubai
FHY,FH,Free Bird
FIN,AY,Finnair
FJL,9P,Fly Jinnah
FPG,AL,Aero Leasing
GBB,GE,Global Aviation
GBG,G2,Gullivair
GEL,D4,GEO SKY
GEO,DA,Air Georgia
GFA,GF,Gulf Air
GIA,GA,Garuda Indonesia
GIL,9C,Gill Airways
GLY,GLY,GALAXY AVIATION (PVT) LTD
GMI,ST,Germania Fluggesellschaft
GOP,GOP,VIP Flight GOVT OF PUNJAB
GTI,5Y,Atlas Air
GTK,TD,Air Anatolia
GWC,GW,GULF WINGS
HFM,5M,Hi Fly Malta
HFY,5K,Hi Fly
HIM,H9,Himalya Airline
HSP,HSP,HOME SECRETARY GOVT OF PUNJAB
HVN,VN,Vietnam Airlines
HYB,HYB,HYBRID TECHNICS
HYT,YG,CARGO AIRLINE (YTO)
IAW,IA,Iraqi Airways
IBE,IB,Iberia
IBH,IBH,IBRAHIM HOLDINGS (Pvt.) Ltd.
ICE,FI,Icelandair
ICN,ICN,ICON AIR (PVT)LTD.
IFA,F3,Red Angel
IGB,IGB,Balochistan Police
IRA,IR,Iran Air
IRB,B9,Islamic Republic of Iran
IRM,W5,Mahan Air
IST,IL,Istanbul Airlines
IWD,TY,Iberworld
IYE,IY,Yemenia Yemen Airways
JAE,JI,Jade Cargo International
JAL,JL,Japan Airlines
JAS,JD,Japan Air System
JAT,JU,Air Serbia
JAV,R5,Jordan Aviation
JDW,JW,JDW Aviation (Pvt) Ltd
JEA,JY,Jersey European Airways
JKK,JK,Spanair
JSP,JSP,PEREGRINE AVIATION (PVT) LTD
JZE,JZR,Jazeera Airways
JZR,J9,Jazeera Airyways
KAC,KU,Kuwait Airways
KAL,KE,Korean Air
KFC,KFC,KARACHI AERO CLUB LTD.
