STATUS,AOD,PRIORITY,FOREGROUND_COLOUR,BACKGROUND_COLOUR,DESCRIPTION,PLANNER_BAR_COLOUR,SITE_ID
AB,D,80,,16744448,Airborne - Aircraft is now in the air and en-route to its next port of call||Departed||??? ???||All,,
AD,,2,,,Advanced Flight||Advanced Flight||??????? ?????||All,,
BD,D,22,,16776960,Boarding - Passenger boarding at the gate has now commenced||Boarding||??????||All,,
CC,D,18,,,Check-in close||Check-in close||??? ?? ???||All,,
CI,D,17,,,Check-in open||Check-in open||??? ?? ????||All,,
CN,,16,,,Confirmed - when ETA/ETD are confirmed by airline ||Confirmed||?????||All,,
CX,,92,16777215,255,Cancelled - Flight no longer operates||Cancelled||?????||All,,
DV,A,91,16777215,196,Diverted - Inbound aircraft has diverted to an alternative airfield||Diverted||??? ???||All,,
ES,,15,,8454016,Estimated - Provisional time has been notified||Delayed||?????? ||All,,
EX,,10,,12910532,Expected - Flight has departed the previous station||Expected||?????||All,,
FB,A,60,,12632256,First Bag - Delivery of baggage to passengers has commenced||First Bag||???? ???||All,,
FS,A,31,,49152,Final Approach - Aircraft is on final approach and some 6 minutes from touchdown||Final Approach||???? ???? ???||All,,
FX,,99,196,,Flight Fixed - Flight is fixed and has completed||Flight Fixed||????? ????||All,,
GA,D,20,,16777156,Gate Attended - Gate operator is preparing gate for opening||Gate Attended||??? ???? ??? ??||All,,
GC,D,24,,16761856,Gate Closed - Flight is now closed for passenger boarding||Gate Closed||??? ???||All,,
GO,D,21,,16777088,Gate Open - Passengers may proceed to the gate for pre-boarding check-in||Gate Open||??? ??????||All,,
LB,A,61,,14737632,Last Bag - Last bag delivered||Last Bag||???? ???||All,,
LC,D,23,,16769024,Last Call - Flight will close to passenger boarding shortly||Last Call||???? ???||All,,
LD,A,41,,40960,Landed - Aircraft has touched down on the runway||Landed||?????||All,,
NI,A,70,,9895935,Next Information - Flight is subject to a delay||Next Information||???? ???????||All,,
NO,,93,255,,Non-operational - Flight no longer operates||Non-operational||??? ???????||All,,
NT,,16,,,New Time - when ETA/ETD renewed by airline||New Time||??? ???||All,,
OB,,50,,32768,On/Off Blocks - Aircraft confirmed as having arrived on stand||On/Off Blocks||?? / ??? ?????||All,,
OT,,15,,65280,On Time - Flight is on time; estimated time is updated and is within a configurable time period||On Time||??? ??||All,,
OV,A,40,,65535,Overshoot - Landing aborted and aircraft will either come round to attempt another approach or may divert to another airfield||Overshoot||?????? ????||All,,
RS,D,90,,6619135,Return To Stand - An aircraft that had previously taxied is returning to the ramp e.g. after technical problems||Return To Stand||?????? ????||All,,
SH,,0,,,Scheduled - Default status||Scheduled||????? ???||All,,
XF,,98,164,,Flight Fixed - Flight is fixed but can be temporarily amended||Flight Fixed||????? ????||All,,
ZN,A,30,,57344,Zoning - Aircraft on initial approach and about 12 minutes from touchdown.||Zoning||????||All,,
